Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],"GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","Population, total [SP.POP.TOTL]"
American Samoa,ASM,2021,YR2021,0.0001,..,49225
American Samoa,ASM,2022,YR2022,0.0001,..,48342
American Samoa,ASM,2023,YR2023,0.0001,..,47521
Andorra,AND,1992,YR1992,..,45246.53307101,60200
Andorra,AND,1993,YR1993,..,42605.6595832451,63272
Andorra,AND,1994,YR1994,..,42716.3656354,64612
Andorra,AND,1995,YR1995,..,44375.0247238159,63912
Andorra,AND,1996,YR1996,..,46386.0912022485,63984
Andorra,AND,1997,YR1997,..,50032.3529125128,64700
Andorra,AND,1998,YR1998,..,51092.2222352218,65382
Andorra,AND,1999,YR1999,..,52921.0452609846,65710
Andorra,AND,2000,YR2000,..,54809.1441679423,65685
Andorra,AND,2001,YR2001,..,59109.0136806378,65852
Andorra,AND,2002,YR2002,..,61188.6370851474,66506
Andorra,AND,2003,YR2003,..,63656.1958332184,69486
Andorra,AND,2004,YR2004,..,64353.4858113531,74325
Andorra,AND,2005,YR2005,..,65114.8053663021,77421
Andorra,AND,2006,YR2006,..,66390.293726491,79585
Andorra,AND,2007,YR2007,..,65534.1168555171,81877
Andorra,AND,2008,YR2008,..,60691.6051530637,83495
Andorra,AND,2009,YR2009,..,57203.9708883731,83888
Andorra,AND,2010,YR2010,..,58285.0577756981,80706
Andorra,AND,2011,YR2011,..,60470.4662377044,77783
Andorra,AND,2012,YR2012,..,58172.1323929474,76834
Andorra,AND,2013,YR2013,..,57332.1585611366,75194
Andorra,AND,2014,YR2014,..,59929.2444670501,73737
Andorra,AND,2015,YR2015,..,62105.1542389675,72174
Andorra,AND,2016,YR2016,..,64402.8092369468,72181
Andorra,AND,2017,YR2017,..,63239.6577711911,73763
Andorra,AND,2018,YR2018,..,63048.5985572834,75162
Andorra,AND,2019,YR2019,..,63215.899791913,76474
Andorra,AND,2020,YR2020,..,55488.4902991095,77380
Andorra,AND,2021,YR2021,..,59332.2029100127,78364
Andorra,AND,2022,YR2022,..,63913.3835079105,79705
Andorra,AND,2023,YR2023,..,64631.2963909271,80856
Angola,AGO,1992,YR1992,12.119,6578.06857492,12423712
Angola,AGO,1993,YR1993,12.1416,4843.15588381552,12827135
Angola,AGO,1994,YR1994,11.4904,4751.47164903966,13249764
Angola,AGO,1995,YR1995,12.9533,5284.70313321921,13699778
Angola,AGO,1996,YR1996,15.6788,5800.9625138357,14170973
Angola,AGO,1997,YR1997,16.4021,6015.18684736899,14660413
Angola,AGO,1998,YR1998,17.0364,6090.09587758534,15159370
Angola,AGO,1999,YR1999,18.0314,6021.22914776477,15667235
Angola,AGO,2000,YR2000,16.5119,6002.98914011246,16194869
Angola,AGO,2001,YR2001,16.1923,6049.16321222272,16747208
Angola,AGO,2002,YR2002,15.9154,6645.47776627718,17327699
Angola,AGO,2003,YR2003,17.3296,6609.21488902386,17943712
Angola,AGO,2004,YR2004,17.6903,7074.02594737625,18600423
Angola,AGO,2005,YR2005,15.6389,7845.89015271542,19291161
Angola,AGO,2006,YR2006,16.3202,8435.4550466421,20015279
Angola,AGO,2007,YR2007,17.0558,9263.98070293341,20778561
Angola,AGO,2008,YR2008,19.1194,9916.90935059131,21578655
Angola,AGO,2009,YR2009,21.0889,9629.09194801829,22414773
Angola,AGO,2010,YR2010,22.7399,9672.83922433216,23294825
Angola,AGO,2011,YR2011,23.65,9627.02059776978,24218352
Angola,AGO,2012,YR2012,24.7162,10051.3399118452,25177394
Angola,AGO,2013,YR2013,28.5342,10150.9160957693,26165620
Angola,AGO,2014,YR2014,30.8873,10250.5924040333,27160769
Angola,AGO,2015,YR2015,33.0975,9980.92988185425,28157798
Angola,AGO,2016,YR2016,31.2858,9381.80972573042,29183070
Angola,AGO,2017,YR2017,27.9421,9042.11712940232,30234839
Angola,AGO,2018,YR2018,26.2589,8620.21466424389,31297155
Angola,AGO,2019,YR2019,27.5732,8274.54256174643,32375632
Angola,AGO,2020,YR2020,20.7109,7556.96792771976,33451132
Angola,AGO,2021,YR2021,25.2628,7408.12659121059,34532429
Angola,AGO,2022,YR2022,27.353,7397.48642731105,35635029
Angola,AGO,2023,YR2023,28.2299,7244.89305295156,36749906
Antigua and Barbuda,ATG,1992,YR1992,0.1655,21334.5272625901,64404
Antigua and Barbuda,ATG,1993,YR1993,0.1613,22055.9150532998,65587
Antigua and Barbuda,ATG,1994,YR1994,0.1757,23086.2457164435,66843
Antigua and Barbuda,ATG,1995,YR1995,0.1839,21643.9909532492,68189
Antigua and Barbuda,ATG,1996,YR1996,0.1824,22601.8809726922,69612
Antigua and Barbuda,ATG,1997,YR1997,0.193,23355.0144937395,71053
Antigua and Barbuda,ATG,1998,YR1998,0.1976,24000.9381663039,72412
Antigua and Barbuda,ATG,1999,YR1999,0.2002,24467.112019107,73666
Antigua and Barbuda,ATG,2000,YR2000,0.1354,25552.7238996493,74912
Antigua and Barbuda,ATG,2001,YR2001,0.1323,24019.5911240671,76069
Antigua and Barbuda,ATG,2002,YR2002,0.1497,23962.9657845879,77032
Antigua and Barbuda,ATG,2003,YR2003,0.1633,25141.1012020949,77884
Antigua and Barbuda,ATG,2004,YR2004,0.1659,26308.8627715661,78719
Antigua and Barbuda,ATG,2005,YR2005,0.172,27698.2159589684,79611
Antigua and Barbuda,ATG,2006,YR2006,0.1958,30833.5176024317,80604
Antigua and Barbuda,ATG,2007,YR2007,0.2143,33251.9731474969,81704
Antigua and Barbuda,ATG,2008,YR2008,0.2307,32762.9135009685,82912
Antigua and Barbuda,ATG,2009,YR2009,0.2662,28411.391371682,84173
Antigua and Barbuda,ATG,2010,YR2010,0.2785,25831.8137914213,85320
Antigua and Barbuda,ATG,2011,YR2011,0.2122,25028.9661387322,86332
Antigua and Barbuda,ATG,2012,YR2012,0.2261,25597.9939556746,87260
Antigua and Barbuda,ATG,2013,YR2013,0.2593,25211.9241075013,88064
Antigua and Barbuda,ATG,2014,YR2014,0.2795,25565.9656842771,88765
Antigua and Barbuda,ATG,2015,YR2015,0.2908,25748.624442696,89409
Antigua and Barbuda,ATG,2016,YR2016,0.3147,26637.4181596117,89969
Antigua and Barbuda,ATG,2017,YR2017,0.277,27143.0416282234,90468
Antigua and Barbuda,ATG,2018,YR2018,0.2949,28884.1201297316,90926
Antigua and Barbuda,ATG,2019,YR2019,0.3403,29636.8924377024,91364
Antigua and Barbuda,ATG,2020,YR2020,0.2759,23915.1619842858,91846
Antigua and Barbuda,ATG,2021,YR2021,0.3052,25733.2948269644,92349
Antigua and Barbuda,ATG,2022,YR2022,0.3065,28033.1307782063,92840
Antigua and Barbuda,ATG,2023,YR2023,0.3231,28967.2556775267,93316
Argentina,ARG,1992,YR1992,107.511,19476.2840606477,33693527
Argentina,ARG,1993,YR1993,111.2743,20791.3451479504,34152717
Argentina,ARG,1994,YR1994,114.6833,21711.842788091,34613491
Argentina,ARG,1995,YR1995,116.2684,20819.4999479903,35070020
Argentina,ARG,1996,YR1996,126.5706,21695.5949515372,35513793
Argentina,ARG,1997,YR1997,130.9264,23172.1583398342,35947791
Argentina,ARG,1998,YR1998,138.0079,23783.1017185449,36372860
Argentina,ARG,1999,YR1999,139.9387,22714.5111302701,36794682
Argentina,ARG,2000,YR2000,136.7616,22281.3814299958,37213984
Argentina,ARG,2001,YR2001,131.3471,21066.4581290433,37624825
Argentina,ARG,2002,YR2002,124.055,18571.7020471274,38029349
Argentina,ARG,2003,YR2003,135.2443,20005.1385113465,38424282
Argentina,ARG,2004,YR2004,149.7328,21591.449396517,38815916
Argentina,ARG,2005,YR2005,153.6798,23262.4075792816,39216789
Argentina,ARG,2006,YR2006,162.6177,24877.2493922296,39622115
Argentina,ARG,2007,YR2007,173.1561,26850.6645932771,40016763
Argentina,ARG,2008,YR2008,179.3129,27658.4853446831,40424148
Argentina,ARG,2009,YR2009,164.9146,25747.1976809995,40854831
Argentina,ARG,2010,YR2010,177.4042,28056.2570212342,41288694
Argentina,ARG,2011,YR2011,184.8745,29425.7593876084,41730660
Argentina,ARG,2012,YR2012,188.8658,28825.9666865361,42161721
Argentina,ARG,2013,YR2013,193.2397,29227.6601818437,42582455
Argentina,ARG,2014,YR2014,190.0821,28200.8152571318,43024071
Argentina,ARG,2015,YR2015,196.2522,28669.2061336796,43477012
Argentina,ARG,2016,YR2016,194.1702,27802.1057201498,43900313
Argentina,ARG,2017,YR2017,191.3792,28334.904184742,44288894
Argentina,ARG,2018,YR2018,189.8389,27367.115094108,44654882
Argentina,ARG,2019,YR2019,183.2869,26629.5529419501,44973465
Argentina,ARG,2020,YR2020,170.1203,23877.0931404855,45191965
Argentina,ARG,2021,YR2021,190.662,26300.274261175,45312281
Argentina,ARG,2022,YR2022,193.4816,27627.9634764636,45407904
Argentina,ARG,2023,YR2023,183.7784,27104.9799978169,45538401
Armenia,ARM,1992,YR1992,10.9766,3136.72428260526,3571861
Armenia,ARM,1993,YR1993,5.1153,2958.88037185647,3453332
Armenia,ARM,1994,YR1994,2.8083,3200.89649468569,3364610
Armenia,ARM,1995,YR1995,3.5412,3480.7559365251,3307581
Armenia,ARM,1996,YR1996,2.5941,3717.33576522762,3278735
Armenia,ARM,1997,YR1997,3.3384,3879.17938009678,3246289
Armenia,ARM,1998,YR1998,3.4726,4211.51276778797,3208401
Armenia,ARM,1999,YR1999,3.1042,4406.96706718618,3167286
Armenia,ARM,2000,YR2000,3.5696,4589.00825039977,3221100
Armenia,ARM,2001,YR2001,3.6333,5044.11647826468,3211800
Armenia,ARM,2002,YR2002,3.1013,5731.35346609213,3199800
Armenia,ARM,2003,YR2003,3.4707,6569.26023440631,3182500
Armenia,ARM,2004,YR2004,3.759,7299.40001858866,3164900
Armenia,ARM,2005,YR2005,4.4625,8362.90084037119,3146400
Armenia,ARM,2006,YR2006,4.4455,9525.23146779778,3127100
Armenia,ARM,2007,YR2007,5.154,10898.8483795634,3107400
Armenia,ARM,2008,YR2008,5.6482,11727.4821272949,3087100
Armenia,ARM,2009,YR2009,4.5018,10143.2350796867,3066000
Armenia,ARM,2010,YR2010,4.2988,10438.5641904169,3044800
Armenia,ARM,2011,YR2011,4.9037,10990.177099035,3027900
Armenia,ARM,2012,YR2012,5.6692,11796.2741177994,3024100
Armenia,ARM,2013,YR2013,5.4924,12194.0189523843,3022000
Armenia,ARM,2014,YR2014,5.7603,12667.3757330249,3013800
Armenia,ARM,2015,YR2015,5.6166,13112.7600902915,3004600
Armenia,ARM,2016,YR2016,5.3743,13192.9940731731,2992300
Armenia,ARM,2017,YR2017,5.6886,14243.8749003795,2979400
Armenia,ARM,2018,YR2018,5.9509,15037.0452420712,2969000
Armenia,ARM,2019,YR2019,6.4241,16215.3607965094,2962500
Armenia,ARM,2020,YR2020,6.9138,15052.9359791136,2961500
Armenia,ARM,2021,YR2021,7.5092,15921.705281964,2962300
Armenia,ARM,2022,YR2022,7.2893,17886.1783877168,2969200
Armenia,ARM,2023,YR2023,7.7251,19230.1899296884,2990900
Aruba,ABW,1992,YR1992,0.2506,35947.3722593228,69005
Aruba,ABW,1993,YR1993,0.2514,36124.3033492699,73685
Aruba,ABW,1994,YR1994,0.2856,37118.2720488659,77595
Aruba,ABW,1995,YR1995,0.3142,37009.6479728846,79805
Aruba,ABW,1996,YR1996,0.2066,35997.8544202823,83021
Aruba,ABW,1997,YR1997,0.3427,37070.0133081279,86301
Aruba,ABW,1998,YR1998,0.3509,36889.4231951587,88451
Aruba,ABW,1999,YR1999,0.3555,36842.9551654158,89659
Aruba,ABW,2000,YR2000,0.2686,39244.8298545806,90588
Aruba,ABW,2001,YR2001,0.2715,40505.5330010609,91439
Aruba,ABW,2002,YR2002,0.2966,39846.0627615715,92074
Aruba,ABW,2003,YR2003,0.3419,39832.5790764609,93128
Aruba,ABW,2004,YR2004,0.3489,41834.9275811055,95138
Aruba,ABW,2005,YR2005,0.3848,40608.8196948258,97635
Aruba,ABW,2006,YR2006,0.4237,40335.4176892185,99405
Aruba,ABW,2007,YR2007,0.4575,41272.27939244,100150
Aruba,ABW,2008,YR2008,0.454,41710.4970441525,100917
Aruba,ABW,2009,YR2009,0.4927,36590.560109989,101604
Aruba,ABW,2010,YR2010,0.4822,35508.5945732562,101838
Aruba,ABW,2011,YR2011,0.2902,36435.5553328221,102591
Aruba,ABW,2012,YR2012,0.3749,35530.2600441558,104110
Aruba,ABW,2013,YR2013,0.4123,37255.3534520324,105675
Aruba,ABW,2014,YR2014,0.4407,36275.6809553371,106807
Aruba,ABW,2015,YR2015,0.462,35682.3002526702,107906
Aruba,ABW,2016,YR2016,0.4849,36021.8308363445,108727
Aruba,ABW,2017,YR2017,0.4666,38558.0045581753,108735
Aruba,ABW,2018,YR2018,0.4659,39419.5553476692,108908
Aruba,ABW,2019,YR2019,0.5579,38435.4269132506,109203
Aruba,ABW,2020,YR2020,0.4526,28521.6888517757,108587
Aruba,ABW,2021,YR2021,0.5006,35696.3093722926,107700
Aruba,ABW,2022,YR2022,0.5027,38877.6744362842,107310
Aruba,ABW,2023,YR2023,0.53,40516.8085633136,107359
Australia,AUS,1992,YR1992,283.1129,35342.0687073729,17478635
Australia,AUS,1993,YR1993,287.0239,36446.6127594388,17634808
Australia,AUS,1994,YR1994,292.3756,37534.0951143387,17805468
Australia,AUS,1995,YR1995,302.6923,38560.7773400184,18004882
Australia,AUS,1996,YR1996,312.6713,39567.5039666568,18224767
Australia,AUS,1997,YR1997,322.3709,40673.3863259158,18423037
Australia,AUS,1998,YR1998,342.1087,42147.8705315717,18607584
Australia,AUS,1999,YR1999,348.1127,43785.302048448,18812264
Australia,AUS,2000,YR2000,353.8697,44984.5506318958,19028802
Australia,AUS,2001,YR2001,360.4081,45310.0181983981,19274701
Australia,AUS,2002,YR2002,368.6209,46580.2753285047,19495210
Australia,AUS,2003,YR2003,368.115,47470.8028757932,19720737
Australia,AUS,2004,YR2004,381.942,48949.925173225,19932722
Australia,AUS,2005,YR2005,384.0857,49882.9563539893,20176844
Australia,AUS,2006,YR2006,390.1513,50570.3570881242,20450966
Australia,AUS,2007,YR2007,400.6653,51529.4940549351,20827622
Australia,AUS,2008,YR2008,404.2851,52318.4879376875,21249199
Australia,AUS,2009,YR2009,410.2594,52221.285115823,21691653
Australia,AUS,2010,YR2010,415.2731,52556.568475463,22031750
Australia,AUS,2011,YR2011,412.8096,53078.9526519992,22340024
Australia,AUS,2012,YR2012,413.3193,54203.3003755705,22733465
Australia,AUS,2013,YR2013,405.6523,54664.7681376032,23128129
Australia,AUS,2014,YR2014,396.2575,55253.159615938,23475686
Australia,AUS,2015,YR2015,400.5424,55656.4879638382,23815995
Australia,AUS,2016,YR2016,408.5061,56305.8964294545,24190907
Australia,AUS,2017,YR2017,410.8371,56648.8086593728,24592588
Australia,AUS,2018,YR2018,409.2067,57414.0582294386,24963258
Australia,AUS,2019,YR2019,407.8604,57800.493403797,25334826
Australia,AUS,2020,YR2020,392.5191,57023.6678163314,25649248
Australia,AUS,2021,YR2021,384.6772,58145.5513641715,25685412
Australia,AUS,2022,YR2022,374.8785,59845.7858045434,26014399
Australia,AUS,2023,YR2023,373.6164,60408.9433675784,26658948
Austria,AUT,1992,YR1992,60.5095,44749.0143398734,7840709
Austria,AUT,1993,YR1993,60.5648,44615.3248009943,7905633
Austria,AUT,1994,YR1994,61.0913,45511.5403101514,7936118
Austria,AUT,1995,YR1995,64.0531,46654.2953066087,7948278
Austria,AUT,1996,YR1996,67.9724,47623.7011169517,7959017
Austria,AUT,1997,YR1997,67.5303,48590.5346948857,7968041
Austria,AUT,1998,YR1998,68.0915,50232.5942432486,7976789
Austria,AUT,1999,YR1999,66.2254,52020.9942777738,7992324
Austria,AUT,2000,YR2000,66.6907,53551.2877466832,8011566
Austria,AUT,2001,YR2001,71.376,54049.254838318,8042293
Austria,AUT,2002,YR2002,73.216,54582.3490622666,8081957
Austria,AUT,2003,YR2003,78.1656,54937.1715920247,8121423
Austria,AUT,2004,YR2004,79.6051,55997.9515936229,8171966
Austria,AUT,2005,YR2005,80.41,56908.2874562676,8227829
Austria,AUT,2006,YR2006,78.268,58478.7420960339,8268641
Austria,AUT,2007,YR2007,75.4382,60490.0514259229,8295487
Austria,AUT,2008,YR2008,75.2369,61177.346218564,8321496
Austria,AUT,2009,YR2009,68.0563,58829.0579869123,8343323
Austria,AUT,2010,YR2010,73.7958,59749.4583759207,8363404
Austria,AUT,2011,YR2011,72.1947,61291.6535730121,8391643
Austria,AUT,2012,YR2012,69.0271,61396.1488762017,8429991
Austria,AUT,2013,YR2013,69.6127,60882.3202593412,8479823
Austria,AUT,2014,YR2014,65.929,60864.919896314,8546356
Austria,AUT,2015,YR2015,67.3691,60970.9828044462,8642699
Austria,AUT,2016,YR2016,67.7825,61592.2022820173,8736668
Austria,AUT,2017,YR2017,70.1063,62555.6934724317,8797566
Austria,AUT,2018,YR2018,67.1868,63798.2138732413,8840521
Austria,AUT,2019,YR2019,68.5332,64629.8257818257,8879920
Austria,AUT,2020,YR2020,62.5998,60295.4951497108,8916864
Austria,AUT,2021,YR2021,66.1753,62912.1741140595,8955797
Austria,AUT,2022,YR2022,61.2237,65602.2565334818,9041851
Austria,AUT,2023,YR2023,58.8151,64336.037528916,9131761
Azerbaijan,AZE,1992,YR1992,44.9013,7928.37229522939,7382050
Azerbaijan,AZE,1993,YR1993,39.3849,6005.19779709532,7494800
Azerbaijan,AZE,1994,YR1994,34.512,4757.5844127957,7596550
Azerbaijan,AZE,1995,YR1995,33.8799,4147.97469107883,7684850
Azerbaijan,AZE,1996,YR1996,28.4018,4159.5978922991,7763000
Azerbaijan,AZE,1997,YR1997,27.4202,4358.60480019062,7838250
Azerbaijan,AZE,1998,YR1998,27.3769,4749.17444077969,7913000
Azerbaijan,AZE,1999,YR1999,27.3926,5056.04634019211,7982750
Azerbaijan,AZE,2000,YR2000,28.7944,5571.30950249852,8048600
Azerbaijan,AZE,2001,YR2001,27.717,6075.61452386132,8111200
Azerbaijan,AZE,2002,YR2002,27.4863,6599.65760594523,8171950
Azerbaijan,AZE,2003,YR2003,29.7753,7218.4718855466,8234100
Azerbaijan,AZE,2004,YR2004,29.5009,7817.71610674925,8306500
Azerbaijan,AZE,2005,YR2005,31.2192,9901.92662966046,8391850
Azerbaijan,AZE,2006,YR2006,31.9393,13172.5812939603,8484550
Azerbaijan,AZE,2007,YR2007,28.9208,16280.083507883,8581300
Azerbaijan,AZE,2008,YR2008,32.2306,17656.9634509611,8763400
Azerbaijan,AZE,2009,YR2009,27.9822,18901.8857609001,8947243
Azerbaijan,AZE,2010,YR2010,26.6358,19621.3843451177,9054332
Azerbaijan,AZE,2011,YR2011,29.4687,19386.7434013253,9173082
Azerbaijan,AZE,2012,YR2012,32.2806,19545.0718576668,9295784
Azerbaijan,AZE,2013,YR2013,33.2113,20414.8314836618,9416801
Azerbaijan,AZE,2014,YR2014,34.7241,20716.1415229269,9535079
Azerbaijan,AZE,2015,YR2015,34.5224,20694.7787550356,9649341
Azerbaijan,AZE,2016,YR2016,34.4149,19830.3223176308,9757812
Azerbaijan,AZE,2017,YR2017,34.2297,19675.9598908264,9854033
Azerbaijan,AZE,2018,YR2018,34.7619,19798.8335387146,9939771
Azerbaijan,AZE,2019,YR2019,36.9813,20122.7128524509,10024283
Azerbaijan,AZE,2020,YR2020,35.404,19126.094903135,10093121
